distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.1143355,0.0056418873661955,0.0001015668657711
3,0.0251,2,0.1341565,0.0063759374739602,0.0001127549105348
3,0.0503,2,0.1301305,0.0059841771783354,0.000106725893957
3,0.0754,2,0.1355549999999999,0.006217770454785,0.0001103039510583
3,0.1005,2,0.128095,0.0059787667352537,0.0001066435885006
3,0.1257,2,0.1344595,0.0067270747405767,0.0001182828516525
3,0.1508,2,0.1371669999999999,0.0063422354255289,0.0001122306916002
3,0.1759,2,0.145121,0.0067037974400974,0.0001179125550965
3,0.2011,2,0.135114,0.0068030998636566,0.0001194961872302
3,0.2262,2,0.1461295,0.0078693019156691,0.0001371979738394
3,0.2513,2,0.150831,0.0079194668072076,0.0001380648119158
5,0.0,3,0.11400025,0.0024797262775332,5.646699584578916e-05
5,0.0251,3,0.13269225,0.0031822455532132,6.641791002701845e-05
5,0.0503,3,0.13196725,0.002939066152234,6.29983338132369e-05
5,0.0754,3,0.1369365,0.0032384614638473,6.720637236591865e-05
5,0.1005,3,0.1302835,0.0029617853736856,6.331858775812146e-05
5,0.1257,3,0.13719275,0.0032936083125943,6.79793462703722e-05
5,0.1508,3,0.13829425,0.0030951121699842,6.51945279456412e-05
5,0.1759,3,0.1453984999999999,0.0033824721016286,6.922416300734842e-05
5,0.2011,3,0.1380905,0.0034524431591972,7.020391511522883e-05
5,0.2262,3,0.14850325,0.0039636406953181,7.736914070630339e-05
5,0.2513,3,0.15192375,0.0042406338730642,8.127219555991496e-05
7,0.0,4,0.112458,0.0012010409125177,3.678156530992093e-05
7,0.0251,4,0.1334133333333333,0.0020647368466236,5.041496267176079e-05
7,0.0503,4,0.1317678333333333,0.0018959022819133,4.7887473873371726e-05
7,0.0754,4,0.1351653333333333,0.0020183013704498,4.972435617491268e-05
7,0.1005,4,0.1299941666666666,0.0018959022819133,4.7887473873371726e-05
7,0.1257,4,0.1368356666666666,0.0020390489118576,5.003332203698037e-05
7,0.1508,4,0.1385485,0.0019805763149302,4.9160848875565926e-05
7,0.1759,4,0.1436206666666666,0.0020329422956335,4.994245230161516e-05
7,0.2011,4,0.1367761666666666,0.0022003640526977,5.241473526219465e-05
7,0.2262,4,0.1463481666666666,0.0023642820676917,5.48019405153961e-05
7,0.2513,4,0.1509423333333333,0.0025462885316335,5.742185098878788e-05
9,0.0,5,0.107930375,0.0006833916784944,2.703387931742308e-05
9,0.0251,5,0.133522125,0.0015280067892167,4.218359586427626e-05
9,0.0503,5,0.13092225,0.0013472193577765,3.924573774130453e-05
9,0.0754,5,0.1352465,0.0014010043678792,4.013125480522392e-05
9,0.1005,5,0.128641375,0.0013380927070558,3.9094421695726e-05
9,0.1257,5,0.134246875,0.0013552118969656,3.937799383889904e-05
9,0.1508,5,0.135775875,0.0014458513241774,4.08618919536481e-05
9,0.1759,5,0.141146375,0.0015524339769117,4.2572675528993934e-05
9,0.2011,5,0.134708875,0.0014608443441273,4.110466985765718e-05
9,0.2262,5,0.144642875,0.00170024198367,4.489290898450109e-05
9,0.2513,5,0.14812075,0.0017606851643334,4.582650418117399e-05
11,0.0,6,0.1052861,0.0005337227044684,2.3714227377434657e-05
11,0.0251,6,0.1312671,0.0011203565918066,3.538001865855789e-05
11,0.0503,6,0.1291253,0.0009828816948928,3.29096968027468e-05
11,0.0754,6,0.1333851999999999,0.0010602602171657,3.431389515979078e-05
11,0.1005,6,0.1283365,0.001031450941657,3.379544161625629e-05
11,0.1257,6,0.1334656,0.00114941888642,3.588860331276514e-05
11,0.1508,6,0.1329309,0.0010680305073016,3.4452887970421424e-05
11,0.1759,6,0.1381003,0.0011326420548402,3.559554612790021e-05
11,0.2011,6,0.133816,0.0011505383254593,3.590810654857632e-05
11,0.2262,6,0.1420391999999999,0.0012563190741138,3.772400380083688e-05
11,0.2513,6,0.1469908,0.0014608443441273,4.110466985765718e-05
13,0.0,7,0.1033241666666666,0.0004132587583807,2.07434537892396e-05
13,0.0251,7,0.1307108333333333,0.0009082727937165,3.151778947650856e-05
13,0.0503,7,0.1276058333333333,0.0007649854269369,2.871865375700849e-05
13,0.0754,7,0.1326768333333333,0.0007714549534674,2.884913963709234e-05
13,0.1005,7,0.1264963333333333,0.0007682196766922,2.8783939719118264e-05
13,0.1257,7,0.132324,0.0008363771828718,3.013604075328323e-05
13,0.1508,7,0.1322170833333333,0.0008331212264318,3.007243114752678e-05
13,0.1759,7,0.1366881666666666,0.0008309511668045,3.002998367947841e-05
13,0.2011,7,0.1336961666666666,0.0008744404365302,3.087286598477278e-05
13,0.2262,7,0.1404746666666666,0.0010447374028886,3.403516452281778e-05
13,0.2513,7,0.14620575,0.0010735843471797,3.4552019512609136e-05
15,0.0,8,0.1025054285714285,0.0003282237929245,1.84094061772162e-05
15,0.0251,8,0.1302732857142857,0.0006940904422972,2.725916598127369e-05
15,0.0503,8,0.1280014285714286,0.0006983730950335,2.7348957491007765e-05
15,0.0754,8,0.1323473571428571,0.0006812532730151,2.6988681447740016e-05
15,0.1005,8,0.1267339285714285,0.0006183713385028,2.563280866707356e-05
15,0.1257,8,0.1320573571428571,0.0006598938626117,2.653404879110664e-05
15,0.1508,8,0.1318197142857143,0.0006481652418761,2.628187950802072e-05
15,0.1759,8,0.1357441428571428,0.0006577603818393,2.6488314129446757e-05
15,0.2011,8,0.1327102857142857,0.0006695000573933,2.6739237862755326e-05
15,0.2262,8,0.1404160714285714,0.0007552888332087,2.8522272896393724e-05
15,0.2513,8,0.1444285714285714,0.0008103586228795,2.9625061376364825e-05
17,0.0,9,0.1017290625,0.0002326321348914,1.5426080109965483e-05
17,0.0251,9,0.1314560625,0.0005971431799201,2.516249647162833e-05
17,0.0503,9,0.128440625,0.0005347764852604,2.3738863312998423e-05
17,0.0754,9,0.1330411875,0.000572785333316,2.4614240969093805e-05
17,0.1005,9,0.1278024375,0.0005095157648344,2.3142506385638733e-05
17,0.1257,9,0.1323154375,0.0004937595438413,2.2764147537519813e-05
17,0.1508,9,0.1316729999999999,0.0005569310849715,2.425215981652293e-05
17,0.1759,9,0.1357182499999999,0.000572785333316,2.4614240969093805e-05
17,0.2011,9,0.1331139375,0.0006151842945646,2.556262812841516e-05
17,0.2262,9,0.1407114374999999,0.0006385791276645,2.607439643255941e-05
17,0.2513,9,0.1445944999999999,0.0007930497600934,2.928165496437533e-05
19,0.0,10,0.1010081666666666,0.0001785532941422,1.3478981109775842e-05
19,0.0251,10,0.1312704444444444,0.0004874638681163,2.2611526320196543e-05
19,0.0503,10,0.1286143333333333,0.0004111762749114,2.0689001764245903e-05
19,0.0754,10,0.1329017777777777,0.0004706943829929,2.2200808489367303e-05
19,0.1005,10,0.1270891111111111,0.0004236775608226,2.101408882210361e-05
19,0.1257,10,0.1322697222222222,0.0004215929484022,2.0960175603787133e-05
19,0.1508,10,0.1322391111111111,0.0004591813427303,2.1915167399137178e-05
19,0.1759,10,0.1360321666666666,0.0004487262131407,2.165307284768875e-05
19,0.2011,10,0.1320721111111111,0.0004560436778786,2.1836785331035542e-05
19,0.2262,10,0.1401606111111111,0.000520033458486,2.3392299297074628e-05
19,0.2513,10,0.1444012222222222,0.0006481652418761,2.628187950802072e-05
21,0.0,11,0.1015957,0.0001755007847412,1.336127653670134e-05
21,0.0251,11,0.12994725,0.0003530387562125,1.911591569699076e-05
21,0.0503,11,0.12776145,0.0003457948184802,1.8912051138838777e-05
21,0.0754,11,0.1315988,0.0003488987331082,1.899963659230789e-05
21,0.1005,11,0.1263158,0.0003271911454577,1.837949230399001e-05
21,0.1257,11,0.13104585,0.0003499335813126,1.90287597644658e-05
21,0.1508,11,0.1306238499999999,0.0003323554288314,1.85286684623866e-05
21,0.1759,11,0.13472365,0.0003623599585377,1.937549944588194e-05
21,0.2011,11,0.13160125,0.0003644324944935,1.9432809094623893e-05
21,0.2262,11,0.13861995,0.0004018103593998,2.0442588264652792e-05
21,0.2513,11,0.14265265,0.0004487262131407,2.165307284768875e-05
23,0.0,12,0.1008469999999999,0.0001237473947356,1.1191297068190065e-05
23,0.0251,12,0.1295168636363636,0.0002674758042572,1.6569277821134093e-05
23,0.0503,12,0.1265882272727272,0.0002510639539333,1.6040007325266586e-05
23,0.0754,12,0.1312843181818181,0.0002459406620308,1.587152509063284e-05
23,0.1005,12,0.124562,0.0002193409506601,1.4969191079778462e-05
23,0.1257,12,0.1303411818181818,0.0002193409506601,1.4969191079778462e-05
23,0.1508,12,0.1295473636363636,0.0002336552514414,1.5460738526816712e-05
23,0.1759,12,0.1331334545454545,0.0002808299066859,1.6988971743761986e-05
23,0.2011,12,0.1306864999999999,0.0002357017924865,1.5529854250753214e-05
23,0.2262,12,0.1375255,0.0003055296694025,1.774180983316406e-05
23,0.2513,12,0.1416088636363636,0.0003230616009888,1.82594376943626e-05
25,0.0,13,0.10097675,9.241727166464651e-05,9.65664917722436e-06
25,0.0251,13,0.1290254166666666,0.0002183192689095,1.4933541537390925e-05
25,0.0503,13,0.1260205416666666,0.0001765181863817,1.3400614585292236e-05
25,0.0754,13,0.1304148333333333,0.0001632998735525,1.2880798028992826e-05
25,0.1005,13,0.12408375,0.0001531435833718,1.2467635378241078e-05
25,0.1257,13,0.1293840416666666,0.0001673652226728,1.3042732907128307e-05
25,0.1508,13,0.1284325,0.0001572048860948,1.2634374260587236e-05
25,0.1759,13,0.1325596666666666,0.0001928104286972,1.4016536811533031e-05
25,0.2011,13,0.12994175,0.0001775356895085,1.3439849140179078e-05
25,0.2262,13,0.1368655,0.0002050467106636,1.4463102590557963e-05
25,0.2513,13,0.1409854583333333,0.0002438920656571,1.580370056433896e-05
27,0.0,14,0.1011617307692307,7.326238596305767e-05,8.58985298946392e-06
27,0.0251,14,0.1287511538461538,0.0001298224188046,1.1466101716903594e-05
27,0.0503,14,0.1260873076923077,0.000113630386969,1.0718786418666929e-05
27,0.0754,14,0.1299974615384615,0.0001399555052391,1.1911060165577498e-05
27,0.1005,14,0.1249281153846153,0.0001369145223108,1.1779200313100127e-05
27,0.1257,14,0.129460423076923,0.0001196993875816,1.1004560799577906e-05
27,0.1508,14,0.1287278076923076,0.0001450258254708,1.2127895588325782e-05
27,0.1759,14,0.1325373076923077,0.0001622837893759,1.2840025538553605e-05
27,0.2011,14,0.1297941923076923,0.0001196993875816,1.1004560799577906e-05
27,0.2262,14,0.1375835384615384,0.0001734662858374,1.328228625885774e-05
27,0.2513,14,0.1410592692307692,0.0001907724747308,1.3940876922905803e-05
29,0.0,15,0.1008580714285714,5.514876527112911e-05,7.446131051808756e-06
29,0.0251,15,0.1297394642857142,0.0001146416363786,1.0766906741093523e-05
29,0.0503,15,0.1267431071428571,0.0001004932582867,1.0073700845882592e-05
29,0.0754,15,0.1309043928571428,0.0001015032062682,1.0124691924143984e-05
29,0.1005,15,0.1251956785714285,7.426964176199258e-05,8.64912432009961e-06
29,0.1257,15,0.13037825,9.645446585743178e-05,9.867255665876894e-06
29,0.1508,15,0.1299333214285714,9.34264204480173e-05,9.709705660719892e-06
29,0.1759,15,0.1335539642857142,0.0001298224188046,1.1466101716903594e-05
29,0.2011,15,0.1307693214285714,0.0001227352423507,1.1144885711762886e-05
29,0.2262,15,0.1380362857142857,0.0001389417435359,1.1867256679428898e-05
29,0.2513,15,0.1419630714285714,0.0001755007847412,1.336127653670134e-05
31,0.0,16,0.1013652333333333,5.313812437734988e-05,7.308419289927559e-06
31,0.0251,16,0.1304573333333333,8.636447427518013e-05,9.332318298496418e-06
31,0.0503,16,0.1281352666666666,9.443566906131018e-05,9.762489317444711e-06
31,0.0754,16,0.1323606666666666,8.737302449796092e-05,9.38711138875656e-06
31,0.1005,16,0.1266192333333333,8.132321811887833e-05,9.053630062544848e-06
31,0.1257,16,0.1317358,9.241727166464651e-05,9.65664917722436e-06
31,0.1508,16,0.1306946666666666,9.645446585743178e-05,9.867255665876894e-06
31,0.1759,16,0.1349143,0.0001055439982917,1.0326285801246797e-05
31,0.2011,16,0.1322955333333333,8.838167443103728e-05,9.441602505497343e-06
31,0.2262,16,0.1397038333333333,0.0001065544464218,1.0376108961176482e-05
31,0.2513,16,0.1435297999999999,0.0001257720008192,1.1283587865828211e-05
33,0.0,17,0.1019091249999999,4.208667635280383e-05,6.500690311126255e-06
33,0.0251,17,0.1310645625,6.520791746045251e-05,8.100751063250908e-06
33,0.0503,17,0.1286121875,8.838167443103728e-05,9.441602505497343e-06
33,0.0754,17,0.133127625,8.434767288084677e-05,9.221804610896892e-06
33,0.1005,17,0.12716884375,5.2132952495231866e-05,7.238611904133869e-06
33,0.1257,17,0.13292925,8.132321811887833e-05,9.053630062544848e-06
33,0.1508,17,0.13236453125,7.326238596305767e-05,8.58985298946392e-06
33,0.1759,17,0.1361836874999999,8.737302449796092e-05,9.38711138875656e-06
33,0.2011,17,0.13335021875,7.527699701281865e-05,8.708009492155157e-06
33,0.2262,17,0.1410039375,0.0001146416363786,1.0766906741093523e-05
