distance,alpha,order,pdet,eps,eps_err
3,0.0,2,0.09743450000000001,0.003081564957924554,6.500415547396133e-05
3,0.0827,2,0.09656,0.0026456604673020245,5.8841235182128324e-05
3,0.1653,2,0.1017215,0.0033310027596643033,6.850326810212833e-05
3,0.248,2,0.11989,0.00527041163772618,9.607030060104816e-05
3,0.3307,2,0.11226850000000001,0.006319829865205684,0.00011188277983290232
3,0.4134,2,0.148837,0.009257767914473303,0.00016248273215233532
3,0.496,2,0.162058,0.012955909448832958,0.0002465167771683386
3,0.5787,2,0.2015515,0.01811529051342109,0.0004259036700048495
3,0.6614,2,0.20365899999999998,0.02474953970905458,0.0008481076686395632
3,0.7441,2,0.2457645,0.031058028650780223,0.0016361480957478019
3,0.8267,2,0.26351349999999996,0.05936858772539799,0.03461921720819542
3,0.9094,2,0.313534,0.0841181144486654,0.5881457999513283
3,0.9921,2,0.3255575,0.04974813362089192,0.012014025522043824
3,1.0748,2,0.370093,0.045474364343098705,0.007562036434774103
3,1.1574,2,0.3822995,0.5,0.0
3,1.2401,2,0.4109900000000001,0.06368729636941073,0.05609445178191637
3,1.3228,2,0.4335025,0.057203110895186815,0.02722642215750814
3,1.4054,2,0.4517875,0.5,0.0
3,1.4881,2,0.465025,0.5,0.0
3,1.5708,2,0.4742525000000001,0.5,0.0
5,0.0,3,0.09844599999999999,0.0013028040413671782,3.850633257241234e-05
5,0.0827,3,0.096497,0.0010802529562228824,3.467081566989959e-05
5,0.1653,3,0.10125075,0.0013838080334316882,3.984926502892103e-05
5,0.248,3,0.1214445,0.002124929105767337,5.1305516828605985e-05
5,0.3307,3,0.11316600000000002,0.002952424236877027,6.318665471736557e-05
5,0.4134,3,0.15094249999999998,0.0048474403095633,8.99242669809564e-05
5,0.496,3,0.16245174999999995,0.0066631912226110535,0.0001172679237574112
5,0.5787,3,0.20467924999999998,0.010512642833347408,0.0001879586761941434
5,0.6614,3,0.20514624999999997,0.014265724004655755,0.0002838696826459831
5,0.7441,3,0.24849249999999998,0.019397032615725618,0.0004867272708960567
5,0.8267,3,0.264254,0.02712374527861733,0.001085336794404844
5,0.9094,3,0.31411500000000003,0.03470861064122921,0.0024006362731300145
5,0.9921,3,0.326513,0.03907535852748334,0.0038114068368871874
5,1.0748,3,0.37146500000000005,0.5,0.0
5,1.1574,3,0.38295424999999994,0.05646407250342178,0.02509010255567814
5,1.2401,3,0.41176975000000005,0.5,0.0
5,1.3228,3,0.43431749999999997,0.5,0.0
5,1.4054,3,0.45116225,0.5,0.0
5,1.4881,3,0.46543124999999996,0.05611602010492517,0.024144023950007473
5,1.5708,3,0.4745317500000001,0.06157777170548767,0.044287289548385476
7,0.0,4,0.0978165,0.0006630949214923021,2.6602556786733554e-05
7,0.0827,4,0.09812533333333333,0.0006183713385028433,2.5632808667073562e-05
7,0.1653,4,0.10261816666666666,0.0007112318635662529,2.761724991860915e-05
7,0.248,4,0.12307733333333334,0.0010602602171657094,3.431389515979078e-05
7,0.3307,4,0.11453466666666665,0.0015780874341899676,4.297947437738857e-05
7,0.4134,4,0.14733016666666668,0.0026210495653598564,5.849034084802119e-05
7,0.496,4,0.16047233333333333,0.003732929980807431,7.413181876268386e-05
7,0.5787,4,0.20435116666666664,0.006441793773387994,0.00011378241172073308
7,0.6614,4,0.20541900000000002,0.008789152712296855,0.00015363555791147977
7,0.7441,4,0.24567450000000002,0.013544959105954435,0.0002627381343028117
7,0.8267,4,0.26353316666666665,0.019102637864621352,0.0004720486029023427
7,0.9094,4,0.31190616666666665,0.03051777929364169,0.0015462397996868064
7,0.9921,4,0.32702416666666667,0.03314619311750722,0.00203668009970644
7,1.0748,4,0.3695505,0.07487912648611023,0.20040389263892627
7,1.1574,4,0.38274916666666664,0.5,0.0
7,1.2401,4,0.41129683333333333,0.06761366007909952,0.08735521089811803
7,1.3228,4,0.43431500000000006,0.05205398079159679,0.015450878318500293
7,1.4054,4,0.4508953333333333,0.046490617789191835,0.008438692056146526
