distance, alpha , order, pdet               , eps                   , eps_err
       3, 0.0827,     2, 0.10778170000000001, 0.003463121185339424  , 3.1463003213341194e-05
       3, 0.1653,     2, 0.1244847          , 0.004360038706346991  , 3.7101846739345864e-05
       3, 0.248 ,     2, 0.1241655          , 0.005642236125742106  , 4.542441257493798e-05
       3, 0.3307,     2, 0.1394607          , 0.00755488940787602   , 5.895959094940161e-05
       3, 0.4134,     2, 0.15325450000000002, 0.010165781510509508  , 8.0784865576563e-05
       3, 0.496 ,     2, 0.1831659          , 0.013749861092269     , 0.00012012044944542449
       3, 0.5787,     2, 0.21433370000000002, 0.020681406858786888  , 0.0002487362037560993
       3, 0.6614,     2, 0.2309348          , 0.02584916364124118   , 0.0004251508212024781
       3, 0.7441,     2, 0.26127            , 0.036017561033028056  , 0.0012326266306817563
       3, 0.8267,     2, 0.2899398          , 0.04918787692919696   , 0.005055214297043667
       3, 0.9094,     2, 0.31582010000000005, 0.07200865154450686   , 0.06444892193302652
       3, 0.9921,     2, 0.3362278          , 0.053267380554969046  , 0.007892086758066718
       3, 1.0748,     2, 0.37779589999999996, 0.05667951380129149   , 0.011490969644358015
       3, 1.1574,     2, 0.4039906          , 0.06292735194026355   , 0.02303573459475047
       3, 1.2401,     2, 0.42156            , 0.05809260315953885   , 0.013436835249609999
       3, 1.3228,     2, 0.44729300000000005, 0.5                   , 0.0
       3, 1.4054,     2, 0.46207049999999994, 0.053418366838379416  , 0.008023899846626655
       3, 1.4881,     2, 0.4708982          , 0.5                   , 0.0
       3, 1.5708,     2, 0.47884309999999997, 0.5                   , 0.0
       5, 0.0827,     3, 0.10770735         , 0.0015217349815208059 , 1.8820277120209673e-05
       5, 0.1653,     3, 0.1249694          , 0.0019543730003960813 , 2.180975377633014e-05
       5, 0.248 ,     3, 0.12413090000000002, 0.0026963653166144352 , 2.663735990317395e-05
       5, 0.3307,     3, 0.138346           , 0.00363523203659577   , 3.254068215185548e-05
       5, 0.4134,     3, 0.1517265          , 0.005137502287537732  , 4.209490021297476e-05
       5, 0.496 ,     3, 0.18221120000000002, 0.007496859586052507  , 5.852312679631969e-05
       5, 0.5787,     3, 0.2133429          , 0.011318784415622785  , 9.206265769607805e-05
       5, 0.6614,     3, 0.22988699999999998, 0.014822138981350652  , 0.00013470932823616712
       5, 0.7441,     3, 0.26078155         , 0.021321564292138606  , 0.0002658167554355336
       5, 0.8267,     3, 0.2891422          , 0.029103947465189295  , 0.0005965711770653365
       5, 0.9094,     3, 0.3145994          , 0.038035244875194496  , 0.0015262207051409786
       5, 0.9921,     3, 0.33512715000000004, 0.04890453187982674   , 0.0049019414499312415
       5, 1.0748,     3, 0.3771106          , 0.0648736046299741    , 0.028666455111907588
       5, 1.1574,     3, 0.40252519999999997, 0.5                   , 0.0
       5, 1.2401,     3, 0.42141750000000006, 0.09167007948832218   , 0.6456262922890575
       5, 1.3228,     3, 0.44706385         , 0.05861748417653678   , 0.014242565187470139
       5, 1.4054,     3, 0.4622311999999999 , 0.5                   , 0.0
       5, 1.4881,     3, 0.47085155         , 0.5                   , 0.0
       5, 1.5708,     3, 0.4787041          , 0.5                   , 0.0
       7, 0.0827,     4, 0.10651096666666666, 0.0008320361388348685 , 1.3439310359004885e-05
       7, 0.1653,     4, 0.12302570000000002, 0.000990372734440248  , 1.4779204300715914e-05
       7, 0.248 ,     4, 0.12345699999999998, 0.0013620676446263746 , 1.7661023916490623e-05
       7, 0.3307,     4, 0.1365785          , 0.0018804950219269423 , 2.1311703372370445e-05
       7, 0.4134,     4, 0.1506984          , 0.002988310891897328  , 2.848404493676225e-05
       7, 0.496 ,     4, 0.18202656666666667, 0.00450109764565676   , 3.799791434242508e-05
       7, 0.5787,     4, 0.21301789999999998, 0.007315689687937832  , 5.717207835399626e-05
       7, 0.6614,     4, 0.22913473333333334, 0.009759369113422844  , 7.707295577684333e-05
       7, 0.7441,     4, 0.2593862666666667 , 0.014693653642934235  , 0.00013288022990084482
       7, 0.8267,     4, 0.2882958          , 0.022105140816611524  , 0.00028831768914263587
       7, 0.9094,     4, 0.31347366666666665, 0.031804283132932376  , 0.0007911919872923295
       7, 0.9921,     4, 0.3363309          , 0.044597383709147176  , 0.0030770222965545925
       7, 1.0748,     4, 0.3761559333333333 , 0.06543489058769203   , 0.030538110685020336
       7, 1.1574,     4, 0.4017659333333333 , 0.05520709192845569   , 0.009767728078498164
       7, 1.2401,     4, 0.42094153333333334, 0.5                   , 0.0
       7, 1.3228,     4, 0.4463154666666666 , 0.5                   , 0.0
       7, 1.4054,     4, 0.4615018333333334 , 0.5                   , 0.0
       7, 1.4881,     4, 0.4705579          , 0.5                   , 0.0
       7, 1.5708,     4, 0.47860336666666664, 0.5                   , 0.0
       9, 0.0827,     5, 0.10544192499999999, 0.0005486966114038316 , 1.0761031251293475e-05
       9, 0.1653,     5, 0.123158975        , 0.0006603206123705907 , 1.1870475298608864e-05
       9, 0.248 ,     5, 0.12322437500000001, 0.0009189916043240709 , 1.4185728940831316e-05
       9, 0.3307,     5, 0.13626705         , 0.0012941712704799824 , 1.7155881611426648e-05
       9, 0.4134,     5, 0.150053225        , 0.0020341633253591063 , 2.2343071362319492e-05
       9, 0.496 ,     5, 0.182740375        , 0.0031715860188272216 , 2.9636101066978505e-05
       9, 0.5787,     5, 0.2134642          , 0.005250933705166161  , 4.283625916301478e-05
       9, 0.6614,     5, 0.22868525         , 0.007181516556861833  , 5.6182568316734336e-05
       9, 0.7441,     5, 0.258272675        , 0.011222819559077446  , 9.10791825107114e-05
       9, 0.8267,     5, 0.28698487500000003, 0.017306468850904977  , 0.00017503326007556238
       9, 0.9094,     5, 0.312583925        , 0.02463234036914197   , 0.0003747008850215516
       9, 0.9921,     5, 0.337409125        , 0.03674676801195359   , 0.0013314370811419267
       9, 1.0748,     5, 0.37496575000000004, 0.5                   , 0.0
       9, 1.1574,     5, 0.40112732500000003, 0.5                   , 0.0
       9, 1.2401,     5, 0.42082192499999993, 0.5                   , 0.0
       9, 1.3228,     5, 0.44611560000000006, 0.5                   , 0.0
       9, 1.4054,     5, 0.4612693          , 0.5                   , 0.0
       9, 1.4881,     5, 0.470223375        , 0.05917485321363486   , 0.015152273412372096
       9, 1.5708,     5, 0.4782171          , 0.5                   , 0.0
      11, 0.0827,     6, 0.1062419          , 0.00043076843296541156, 9.479412996025604e-06
      11, 0.1653,     6, 0.12393310000000002, 0.00046880954099870475, 9.907683425676577e-06
      11, 0.248 ,     6, 0.12400691999999999, 0.0006846749372129701 , 1.2102036093629515e-05
      11, 0.3307,     6, 0.13647468000000001, 0.0009545098170268829 , 1.4483040779154584e-05
      11, 0.4134,     6, 0.14931935999999998, 0.0015373054695010935 , 1.8931405096510914e-05
      11, 0.496 ,     6, 0.18366064         , 0.002424250752107948  , 2.4895654210397814e-05
      11, 0.5787,     6, 0.21435507999999998, 0.004083389044013286  , 3.5353950154111747e-05
      11, 0.6614,     6, 0.2292823          , 0.005529864168935306  , 4.467603967941973e-05
      11, 0.7441,     6, 0.25819223999999996, 0.00891247244787391   , 6.973454193635249e-05
      11, 0.8267,     6, 0.2870384          , 0.01417117724117839   , 0.00012567305893819704
      11, 0.9094,     6, 0.312092           , 0.021051228160525293  , 0.00025846625295371836
      11, 0.9921,     6, 0.33779766         , 0.03263016419846865   , 0.0008627842156017939
      11, 1.0748,     6, 0.37524544         , 0.045474364343098705  , 0.00338184550329701
      11, 1.1574,     6, 0.40121004         , 0.05552135484826065   , 0.010111938551013736
      11, 1.2401,     6, 0.4204991          , 0.5                   , 0.0
      11, 1.3228,     6, 0.44592454000000004, 0.5                   , 0.0
      11, 1.4054,     6, 0.46127808000000003, 0.5                   , 0.0
      11, 1.4881,     6, 0.47005173999999994, 0.045734656394654905  , 0.0034781214094764708
      11, 1.5708,     6, 0.47832416         , 0.06051592162836694   , 0.017592012004070002
      13, 0.0827,     7, 0.10555581666666668, 0.00030449931735143654, 7.920588317190222e-06
      13, 0.1653,     7, 0.12355623333333332, 0.00035842330040036785, 8.616123475175095e-06
      13, 0.248 ,     7, 0.12421116666666666, 0.0005084645920869768 , 1.0338425042481434e-05
      13, 0.3307,     7, 0.13655745000000002, 0.0007277577607090469 , 1.2503755146729744e-05
      13, 0.4134,     7, 0.14914213333333332, 0.001205317069467693  , 1.648204056996359e-05
      13, 0.496 ,     7, 0.18353513333333332, 0.0018934933576981172 , 2.1399646391897245e-05
      13, 0.5787,     7, 0.21508098333333336, 0.003241211693143342  , 3.0072847829749236e-05
      13, 0.6614,     7, 0.22930645         , 0.004537922464620092  , 3.8232461871834496e-05
      13, 0.7441,     7, 0.2580647833333333 , 0.007206741721497267  , 5.636789494799161e-05
      13, 0.8267,     7, 0.2874551833333333 , 0.01189853306303168   , 9.818990263603943e-05
      13, 0.9094,     7, 0.31214971666666663, 0.017887378850782343  , 0.00018599215350662959
      13, 0.9921,     7, 0.3385039166666667 , 0.02791834906776025   , 0.0005272250417459538
      13, 1.0748,     7, 0.37518935000000003, 0.04353201917765359   , 0.0027441038421201235
