"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"0","303.79347149542656","433.176674460048","0.02099609375","0.015625","0.0263671875","2280","0.00021510322748533828","32","0.00021510322748533828","0","0.00021510322748533828","0.00021510322748533828","1:0.0009237805836782298","1:68","1:0.0018929516864581997","Yes"
"1","332.27112980240645","406.34903698430276","0.009033203125","0.009765625","0.00830078125","2280","0.00020984582593873346","32","0.00020984582593873346","0","0.00020984582593873346","0.00020984582593873346","2:0.001592457269702141;0:0.0009237805836782298","2:68;0:68","2:0.0024043267643951705;0:0.0018929516864581997","Yes"
"2","322.79595854716416","105.76172857417728","0.00341796875","0.00341796875","0.00341796875","2280","0.00013705429051926883","32","0.00013705429051926883","0","0.00013705429051926883","0.00013705429051926883","1:0.001592457269702141;3:0.0014080522341323176","1:68;3:68","1:0.0024043267643951705;3:0.0036078056564732564","Yes"
"3","344.1343055312064","482.69283771712435","0.004638671875","0.00830078125","0.0009765625","2280","0.0003800179201400753","32","0.0003800179201400753","0","0.0003800179201400753","0.0003800179201400753","16:0.0018292316415650378;2:0.0014080522341323176;4:0.006290188429933646","16:68;2:68;4:68","16:0.0012917440770744137;2:0.0036078056564732564;4:0.002663127304818269","Yes"
"4","279.87294982052236","58.02568826898094","0.013671875","0.0146484375","0.0126953125","2280","0.0003064540794227381","32","0.0003064540794227381","0","0.0003064540794227381","0.0003064540794227381","3:0.006290188429933646;5:0.0015526271584259677","3:68;5:68","3:0.002663127304818269;5:0.001955832091374371","Yes"
"5","273.50778778192137","104.11319845906229","0.00439453125","0.00537109375","0.00341796875","2280","0.00017672913187230182","32","0.00017672913187230182","0","0.00017672913187230182","0.00017672913187230182","6:0.0025224253443906774;4:0.0015526271584259677","6:68;4:68","6:0.0038334748687902653;4:0.001955832091374371","Yes"
"6","264.45793345262206","116.54889178502778","0.008544921875","0.0087890625","0.00830078125","2280","0.00029358892081090936","32","0.00029358892081090936","0","0.00029358892081090936","0.00029358892081090936","5:0.0025224253443906774;7:0.009053857831148537","5:68;7:80","5:0.0038334748687902653;7:0.010197174942128878","Yes"
"7","357.06997284411244","100.32849287176042","0.0205078125","0.03076171875","0.01025390625","2280","0.0003848073251773843","32","0.0003848073251773843","0","0.0003848073251773843","0.0003848073251773843","17:0.007442059180111538;6:0.009053857831148537;8:0.006577967506289223","17:68;6:80;8:68","17:0.004247891396614273;6:0.010197174942128878;8:0.0038081261692296253","Yes"
"8","291.75950504275886","70.6123623201111","0.025390625","0.0166015625","0.0341796875","2280","0.00035803156439301987","32","0.00035803156439301987","0","0.00035803156439301987","0.00035803156439301987","9:0.006608605746204588;7:0.006577967506289223","9:68;7:68","9:0.009486668672469917;7:0.0038081261692296253","Yes"
"9","4.99911247275682","10.226663380070933","0.03955078125","0.078125","0.0009765625","2280","0.00232437293798424","32","0.00232437293798424","0","0.00232437293798424","0.00232437293798424","8:0.006608605746204588;10:0.005961263779508369","8:68;10:68","8:0.009486668672469917;10:0.009407417441521682","Yes"
"10","300.70887008816476","31.62307964554155","0.002685546875","0.00439453125","0.0009765625","2280","0.00028981098912780347","32","0.00028981098912780347","0","0.00028981098912780347","0.00028981098912780347","9:0.005961263779508369;11:0.001275980437638935","9:68;11:68","9:0.009407417441521682;11:0.0014812558582932844","Yes"
"11","255.6586887661539","50.36953847766389","0.005615234375","0.0068359375","0.00439453125","2280","0.0002998251946767372","32","0.0002998251946767372","0","0.0002998251946767372","0.0002998251946767372","18:0.0017340203890316153;10:0.001275980437638935;12:0.0013208489995379935","18:68;10:68;12:68","18:0.00268469334304991;10:0.0014812558582932844;12:0.0013121446560347971","Yes"
"12","196.04378311051013","232.11809347201495","0.034912109375","0.05078125","0.01904296875","2280","0.0003904032076213729","32","0.0003904032076213729","0","0.0003904032076213729","0.0003904032076213729","13:0.0019775615245132827;11:0.0013208489995379935","13:68;11:68","13:0.0019098302004203205;11:0.0013121446560347971","Yes"
"13","482.1161024561802","28.60992340475014","0.006103515625","0.00927734375","0.0029296875","2280","0.0002723810294451591","32","0.0002723810294451591","0","0.0002723810294451591","0.0002723810294451591","12:0.0019775615245132827;14:0.0011028782333618592","12:68;14:68","12:0.0019098302004203205;14:0.0035245519953532034","Yes"
"14","279.20004640649654","246.5319688529809","0.02490234375","0.0205078125","0.029296875","2280","0.00019455493592580536","32","0.00019455493592580536","0","0.00019455493592580536","0.00019455493592580536","15:0.0021781823183439353;13:0.0011028782333618592","15:68;13:68","15:0.002137377014601566;13:0.0035245519953532034","Yes"
"15","357.0427134162676","352.8055028886441","0.0048828125","0.005859375","0.00390625","2280","0.00010863367501665905","32","0.00010863367501665905","0","0.00010863367501665905","0.00010863367501665905","14:0.0021781823183439353;19:0.00437303583264842","14:68;19:68","14:0.002137377014601566;19:0.003897992329198491","Yes"
"16","283.82413043885384","216.5162887043645","0.014404296875","0.025390625","0.00341796875","2280","0.000252598724201998","32","0.000252598724201998","0","0.000252598724201998","0.000252598724201998","23:0.0013350383770060759;3:0.0018292316415650378","23:68;3:68","23:0.0014546068903806553;3:0.0012917440770744137","Yes"
"17","319.25234271374785","178.08641623491104","0.00341796875","0.00537109375","0.00146484375","2280","0.00022623744396523224","32","0.00022623744396523224","0","0.00022623744396523224","0.00022623744396523224","7:0.007442059180111538;27:0.0011573754108208656","7:68;27:68","7:0.004247891396614273;27:0.0022656110824881837","Yes"
"18","106.5274759434076","98.74777187281988","0.03662109375","0.03173828125","0.04150390625","2280","0.00025406759049629267","32","0.00025406759049629267","0","0.00025406759049629267","0.00025406759049629267","11:0.0017340203890316153;31:0.0018033111263469903","11:68;31:68","11:0.00268469334304991;31:0.0023628332464858126","Yes"
"19","271.21866037656866","190.36262016594682","0.011474609375","0.01123046875","0.01171875","2280","0.0003856167461460418","32","0.0003856167461460418","0","0.0003856167461460418","0.0003856167461460418","35:0.001272238997320374;15:0.00437303583264842","35:68;15:68","35:0.00121822613988401;15:0.003897992329198491","Yes"
"20","342.75001079883396","23.78265815722116","0.006591796875","0.00830078125","0.0048828125","2280","0.0002551947161528765","32","0.0002551947161528765","0","0.0002551947161528765","0.0002551947161528765","21:0.0017133583020350063","21:68","21:0.002375886821390477","Yes"
"21","288.9307538497019","352.25862740233526","0.006103515625","0.01025390625","0.001953125","2280","0.0001391304787043053","32","0.0001391304787043053","0","0.0001391304787043053","0.0001391304787043053","36:0.0018247325145931415;20:0.0017133583020350063;22:0.002187651834572424","36:68;20:68;22:68","36:0.002772734708355956;20:0.002375886821390477;22:0.001644056996703086","Yes"
"22","332.4357500598821","159.61418042147244","0.0068359375","0.01025390625","0.00341796875","2280","0.00028313696043916496","32","0.00028313696043916496","0","0.00028313696043916496","0.00028313696043916496","23:0.0013801283821665289;21:0.002187651834572424","23:68;21:68","23:0.003284818127375133;21:0.001644056996703086","Yes"
"23","303.6882288032302","84.264157733213","0.002197265625","0.00439453125","0","2280","0.0002492436598354773","32","0.0002492436598354773","0","0.0002492436598354773","0.0002492436598354773","22:0.0013801283821665289;24:0.0015455016031688806;16:0.0013350383770060759","22:68;24:68;16:68","22:0.003284818127375133;24:0.0024345158964347025;16:0.0014546068903806553","Yes"
"24","204.3238180008922","63.59986793346815","0.01513671875","0.01611328125","0.01416015625","2280","0.00038063835496258454","32","0.00038063835496258454","0","0.00038063835496258454","0.00038063835496258454","23:0.0015455016031688806;25:0.002125858136629022","23:68;25:68","23:0.0024345158964347025;25:0.0030264760630021037","Yes"
"25","394.1025837905823","16.615643019703462","0.00341796875","0.00390625","0.0029296875","2280","0.00024257083223327728","32","0.00024257083223327728","0","0.00024257083223327728","0.00024257083223327728","24:0.002125858136629022;26:0.0014204087769978113;37:0.0021129394064207663","24:68;26:68;37:68","24:0.0030264760630021037;26:0.006132586466007145;37:0.005117213824621686","Yes"
"26","298.07440023467257","194.843353245383","0.017333984375","0.0166015625","0.01806640625","2280","0.0001831352331293991","32","0.0001831352331293991","0","0.0001831352331293991","0.0001831352331293991","25:0.0014204087769978113;27:0.09533013921303296","25:68;27:68","25:0.006132586466007145;27:0.0034705641120229558","Yes"
"27","344.0780175711671","75.07349465659476","0.009033203125","0.01171875","0.00634765625","2280","0.00017563644102823548","32","0.00017563644102823548","0","0.00017563644102823548","0.00017563644102823548","26:0.09533013921303296;28:0.0011932917849550861;17:0.0011573754108208656","26:68;28:68;17:68","26:0.0034705641120229558;28:0.0019559473188530685;17:0.0022656110824881837","Yes"
"28","248.8683226117991","337.8378952643921","0.00732421875","0.0146484375","0","2280","0.00016442184909209196","32","0.00016442184909209196","0","0.00016442184909209196","0.00016442184909209196","27:0.0011932917849550861;29:0.0030807435599451427","27:68;29:68","27:0.0019559473188530685;29:0.0030982767769942576","Yes"
"29","195.39660597710073","98.70921354905423","0.005615234375","0.01025390625","0.0009765625","2280","0.00021639170634964617","32","0.00021639170634964617","0","0.00021639170634964617","0.00021639170634964617","38:0.019635086351894704;28:0.0030807435599451427;30:0.0014809924236443839","38:68;28:68;30:80","38:0.0058915878106388375;28:0.0030982767769942576;30:0.003935054025804102","Yes"
"30","114.02142353841361","42.908608259392366","0.007080078125","0.01171875","0.00244140625","2280","0.00014733972557610836","32","0.00014733972557610836","0","0.00014733972557610836","0.00014733972557610836","31:0.001537099816373927;29:0.0014809924236443839","31:68;29:80","31:0.0061909626948842555;29:0.003935054025804102","Yes"
